origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
AT,BE,null,null,null,null,null,null,null,null ,2,2,5,3,0,1,3,1
AT,BG,null,null,null,8,11,11,14,14,15,14,14,13,9,null,null ,null 
AT,CH,570,522,505,498,518,215,220,225,195,193,170,179,null ,null ,null ,null 
AT,CZ,822,691,595,482,318,210,192,201,null ,160,149,169,183,144,18,38
AT,DE,1604,1584,1690,1434,1051,1362,1314,1302,1409,1060,1040,900,928,929,896,975
AT,DK,6,5,8,9,8,6,8,11,17,12,9,9,9,9,1,3
AT,ES,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
AT,FR,null,null,null,null,null,null,null,null,null,null,2,2,3,10,12,7
AT,HR,22,21,26,21,22,24,25,28,28,28,27,29,27,26,25,28
AT,HU,null,null,null,null,null,376,498,477,415,309,307,279,270,268,267,174
AT,IT,null,null,null,null,null,null,null,null,null,null,null,null,259,323,414,195
AT,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0
AT,LU,0,0,0,0,0,0,1,1,1,1,null ,0,1,0,0,1
AT,MK,null ,null ,null ,null ,0,null ,0,null ,0,0,0,null ,null ,null ,null ,null 
AT,NL,null,null,null,null,null,null,null,null,null,null,null,null,20,31,40,40
AT,PL,34,28,30,31,46,58,51,53,56,60,49,63,63,63,66,54
AT,RO,18,16,11,5,3,4,7,8,11,17,17,16,13,9,13,12
AT,SI,97,80,68,53,49,54,57,68,65,68,73,53,48,38,38,47
AT,SK,1000,918,761,732,760,799,767,735,684,599,729,726,698,514,88,84
AT,TR,null ,null ,0,0,6,6,5,9,7,7,7,7,6,2,2,3
BA,AT,null ,null,null ,null,null,null,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
BA,BE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null 
BA,BG,null,null,null,0,0,0,0,0,0,0,0,null ,null ,null ,null ,null 
BA,CZ,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null 
BA,HR,null ,null ,0,7,7,7,14,27,27,30,30,48,41,36,18,31
BA,HU,null ,null ,null ,null ,null,1,23,3,3,2,2,2,2,2,3,2
BA,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null ,2,null 
